id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,difficulty,cefr_level,toeic_level,frequency,synonyms,antonyms,word_family,collocations,phrasal_verbs,grammar_pattern,common_mistakes,usage_note,topic,mnemonic,mnemonic_type,memory_tip,is_common,stage,created_at,updated_at
,access gate,noun,cổng kiểm soát ra vào,/ˈækses ɡeɪt/,Cổng cho phép hoặc kiểm soát việc đi vào một khu vực.,Visitors must use the access gate near the parking lot.,Khách phải sử dụng cổng ra vào gần bãi đỗ xe.,,,medium,B2,700,common,entrance gate,,"access, accessible","access gate, security gate, main access gate",,access to + noun,Không nhầm access gate với boarding gate.,"Dùng cho kiểm soát ra vào tại sân bay, tòa nhà hoặc cơ sở.",Safety / Travel,access = ra vào,association,Access gate = cổng để ra vào.,TRUE,3,,
,access level,noun,cấp độ truy cập,/ˈækses ˌlevəl/,Mức quyền xác định người dùng được phép truy cập những gì.,Each employee has an access level based on their role.,Mỗi nhân viên có một cấp độ truy cập dựa trên vai trò của họ.,,,medium,B2,700,common,permission level,,"access, accessible","access level, user access level",,access level for + noun,Không nhầm access level với password.,Quan trọng trong quản lý quyền hệ thống.,Technology,"access = truy cập, level = cấp độ.",association,Access level = cấp quyền truy cập.,TRUE,3,,
,access log,noun,nhật ký truy cập,/ˈækses lɒɡ/,Bản ghi lưu lại các hoạt động truy cập vào hệ thống hoặc tài nguyên.,The administrator reviewed the access log after the security incident.,Quản trị viên đã xem nhật ký truy cập sau sự cố bảo mật.,,,medium,B2,750,common,access record; audit log,,access; accessible; log,access log; system access log; user access log,log in,review/check an access log,Không nhầm access log với activity log; access log tập trung vào các lần truy cập.,Quan trọng trong bảo mật và kiểm toán.,Technology,log = nhật ký,association,access log = nhật ký ai đã truy cập,TRUE,4,,
,access management,noun,quản lý quyền truy cập,/ˈækses ˈmænɪdʒmənt/,Quản lý người dùng được phép truy cập tài nguyên nào.,Access management is essential for protecting company data.,Quản lý quyền truy cập rất quan trọng để bảo vệ dữ liệu công ty.,,,medium,B2,750,common,access control,,manage; management,access management system; user access management,,access management for + noun,Không đồng nhất hoàn toàn với access control.,Thường dùng trong quản trị CNTT và bảo mật.,Technology,access = quyền vào; management = quản lý,word_family,Access management = quản lý ai được vào đâu.,TRUE,3,,
,access permission,noun phrase,quyền truy cập,/ˈækses pəˈmɪʃən/,permission that determines whether a user can access a resource,You need access permission to open the file.,Bạn cần quyền truy cập để mở tệp.,,,medium,B2,700,extremely common,access right,access restriction,"permit, permission","access permission, grant permission",,grant + access permission,Confusing permission with authentication,Permission determines what a user can access or do.,IT / Security,permission = quyền được phép,word association,"Permission answers ""Can I access it?""",TRUE,3,,
,access point,noun phrase,điểm truy cập,/ˈækses pɔɪnt/,"Thiết bị cho phép các thiết bị kết nối vào mạng, đặc biệt qua Wi-Fi.",The technician installed an access point in the meeting room.,Kỹ thuật viên lắp một điểm truy cập trong phòng họp.,,,medium,B2,700,common,wireless access point,,"access, accessible, accessibility","wireless access point, Wi-Fi access point",,connect to + access point,Không nhầm access point với router; access point chủ yếu cung cấp điểm kết nối vào mạng.,Thường gặp trong hệ thống Wi-Fi doanh nghiệp.,Technology / Office,access point = point to access network,association,Access point lets devices access the network,TRUE,3,,
,access policy,noun,chính sách truy cập,/ˈækses ˈpɒləsi/,Quy định xác định ai được truy cập tài nguyên nào và theo điều kiện nào.,The company revised its access policy after the security review.,Công ty sửa đổi chính sách truy cập sau đợt đánh giá bảo mật.,,,medium,C1,800,common,access control policy,unrestricted access,"access, accessible, policy","access policy, security policy",access to,policy for access to + resource,Không nhầm access policy với password policy.,"Có thể quy định quyền, vai trò và điều kiện truy cập.",Technology / Security,access = truy cập + policy = chính sách,association,access policy = ai được truy cập gì,TRUE,4,,
,access right,noun,quyền truy cập,/ˈækses raɪt/,Quyền cho phép người dùng truy cập hoặc sử dụng tài nguyên.,The manager granted her access rights to the shared folder.,Quản lý đã cấp cho cô ấy quyền truy cập vào thư mục dùng chung.,,,medium,B2,750,common,access permission,,"access, accessible","access right, access rights",,grant access rights to + noun,Không nhầm right với write.,Thường dùng khi nói về quyền hệ thống hoặc dữ liệu.,Technology,access + right = quyền được truy cập.,association,Access right = quyền truy cập.,TRUE,3,,
,access rights,noun,quyền truy cập,/ˈækses raɪts/,Quyền cho phép người dùng truy cập dữ liệu hoặc hệ thống.,Employees receive access rights based on their job roles.,Nhân viên được cấp quyền truy cập dựa trên vai trò công việc.,,,medium,B2,700,common,access permissions,,"access, accessible",user access rights; system access rights,,grant/revoke access rights,Không nhầm access rights với access point.,Thường dùng trong IT và bảo mật.,Technology / Security,access = truy cập; rights = quyền,association,Access rights = quyền được truy cập.,TRUE,3,,
,access road,noun phrase,đường tiếp cận; đường vào,/ˈækses roʊd/,Con đường cho phép phương tiện hoặc người tiếp cận một địa điểm.,The developer will improve the access road to the site.,Nhà phát triển sẽ cải thiện đường vào khu đất.,,,medium,B1,600,common,approach road,,"access, accessible","main access road, site access road",,provide access to + site,Không nhầm access road với public road; access road có chức năng kết nối đến một địa điểm.,Thường gặp trong xây dựng và quy hoạch.,Transportation,access = tiếp cận + road = đường,association,access road = đường vào,TRUE,2,,
,access rule,noun phrase,quy tắc truy cập,/ˈækses ruːl/,a rule specifying who can access a resource,The administrator changed the access rules.,Quản trị viên thay đổi các quy tắc truy cập.,,,medium,C1,800,common,access policy,,"access, accessible",access control rule,,define + an access rule,,Usually part of access control systems.,IT / Security,access = truy cập,word association,Rules decide who gets access.,TRUE,4,,
,access security,noun phrase,an ninh kiểm soát ra vào,/ˈækses sɪˈkjʊərəti/,Các biện pháp kiểm soát và bảo vệ việc ra vào một tòa nhà hoặc khu vực.,The office has strict access security.,Văn phòng có hệ thống kiểm soát ra vào nghiêm ngặt.,,,medium,B2,700,common,access control,unrestricted access,"access, accessible, secure, security","access security system, access security measures",,restrict access to + place,Không nhầm security với safety.,"Thường gặp trong văn phòng, tòa nhà và hệ thống kiểm soát ra vào.",Security,access = ra vào + security = an ninh,association,access security = an ninh ra vào,TRUE,3,,
,access to care,noun phrase,khả năng tiếp cận dịch vụ chăm sóc,/ˈækses tə ker/,Khả năng tiếp cận và sử dụng các dịch vụ chăm sóc sức khỏe.,Rural communities often have limited access to care.,Các cộng đồng nông thôn thường có khả năng tiếp cận dịch vụ chăm sóc hạn chế.,,,medium,B2,700,common,"access to healthcare, healthcare access",limited access,"access, accessible","access to care, equal access to care, improve access to care",,access to + noun,"Luôn chú ý giới từ: access to care, không phải access for care.",Cụm quan trọng trong Public Health.,Healthcare,access to = tiếp cận với,association,access to care = tiếp cận chăm sóc,TRUE,3,,
,access token,noun phrase,mã thông báo truy cập,/ˈækses ˈtoʊkən/,Chuỗi ký tự dùng để xác thực quyền truy cập vào tài nguyên hoặc API.,The application sends an access token with each request.,Ứng dụng gửi access token cùng với mỗi yêu cầu.,,,hard,C1,850,uncommon,authentication token,,"access, authenticate, authentication",access token; bearer token,,send/include + access token,Không nên nhầm access token với mật khẩu.,Token thường có thời hạn và cần được bảo mật.,Technology,token = vé cho phép truy cập,association,access token = vé truy cập,TRUE,5,,
,accessibility,noun,khả năng tiếp cận; tính dễ tiếp cận,/əkˌsesəˈbɪləti/,"Mức độ dễ dàng để người dùng tiếp cận, sử dụng hoặc hiểu một dịch vụ hay hệ thống.",The website's accessibility was improved for users with disabilities.,Khả năng tiếp cận của trang web đã được cải thiện cho người dùng khuyết tật.,,,hard,C1,800,common,"availability, usability, approachability",inaccessibility,"access, accessible, inaccessible","website accessibility, accessibility features, accessibility standards",,accessibility for + person; accessibility of + noun,Không nhầm accessibility với availability; accessibility nhấn mạnh khả năng tiếp cận/sử dụng.,Quan trọng trong Technology và dịch vụ công.,Technology; Communication,accessible → accessibility,word_family,accessibility = dễ tiếp cận,TRUE,4,,
,accessibility ramp,noun phrase,đường dốc tiếp cận cho người khuyết tật,/əkˌsesəˈbɪləti ræmp/,Đường dốc giúp người dùng xe lăn hoặc người khó di chuyển tiếp cận tòa nhà.,The building has an accessibility ramp at the main entrance.,Tòa nhà có đường dốc tiếp cận tại lối vào chính.,,,medium,B2,750,uncommon,access ramp,,"accessible, accessibility","accessibility ramp, wheelchair ramp",,provide an accessibility ramp,Accessibility nói về khả năng tiếp cận; không chỉ dành riêng cho xe lăn.,Dùng trong thiết kế công trình.,Construction,accessible → accessibility,word_family,ramp = đường dốc giúp access,TRUE,4,,
,accessibility service,noun phrase,dịch vụ hỗ trợ tiếp cận,/əkˌsesəˈbɪləti ˌsɜːvɪs/,Dịch vụ giúp hành khách gặp khó khăn về khả năng di chuyển hoặc tiếp cận sử dụng phương tiện dễ dàng hơn.,The airport provides accessibility services for passengers who need assistance.,Sân bay cung cấp dịch vụ hỗ trợ tiếp cận cho hành khách cần trợ giúp.,,,hard,C1,800,common,"accessible service, accessibility support",,"access, accessible, accessibility","accessibility service, accessibility support, accessibility assistance",,accessibility services for + passengers,"Không đồng nhất accessibility với accessibility service; một là khái niệm, một là dịch vụ cụ thể.","Thường liên quan đến sân bay, giao thông công cộng và cơ sở vật chất.",Travel,access = tiếp cận → accessibility = khả năng tiếp cận,word_family,accessibility service = dịch vụ hỗ trợ tiếp cận,TRUE,4,,
,accessible,adjective,có thể tiếp cận; dễ sử dụng; dễ truy cập,/əkˈsesəbəl/,"Có thể dễ dàng tiếp cận, sử dụng hoặc lấy được.",The website is accessible from any device.,Trang web có thể truy cập từ bất kỳ thiết bị nào.,,,medium,B2,700,common,"available, reachable, obtainable","inaccessible, unavailable","access, accessibility, accessibly","easily accessible, accessible to the public, accessible information",,be accessible to + noun,Không nhầm accessible với access; accessible là adjective.,accessible to = có thể tiếp cận đối với ai/cái gì.,Technology / Public Services,access + able = có thể access được.,word_family,access → accessible → accessibility.,TRUE,3,,
,accessible entrance,noun phrase,lối vào dễ tiếp cận; lối vào dành cho người khuyết tật,/əkˈsesəbəl ˈentrəns/,"lối vào được thiết kế để mọi người, kể cả người khuyết tật, có thể sử dụng",The building has an accessible entrance for wheelchair users.,Tòa nhà có lối vào phù hợp cho người sử dụng xe lăn.,,,medium,B2,700,common,wheelchair-accessible entrance,inaccessible entrance,"access, accessible, accessibility","accessible entrance, accessible entrance ramp",enter through,provide + an + accessible entrance,Accessible không có nghĩa đơn giản là “mở cửa”; nhấn mạnh khả năng tiếp cận.,"Dùng trong xây dựng, dịch vụ công cộng và khách sạn.","Safety, General",access = tiếp cận,word_family,access → accessible → accessibility,TRUE,3,,
